Fraction_Size	Depth	Lakes_names	Assembly	 contigs (>= 0 bp)	 contigs (>= 1000 bp)	 contigs (>= 5000 bp)	 contigs (>= 10000 bp)	 contigs (>= 25000 bp)	 contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	 contigs	Largest contig	Total length	N50	N90	auN	L50	L90	 N's per 100 kbp
L	X	CADA	CADAX-LM-03sep20.megahit.nv.contigs	2446755	372662	28806	9341	2247	605	1939105166	970891604	345522030	214793905	110260232	54487232	1102995	611599	1468472845	1601	604	8762.0	181830	835399	0.00
S	X	CADA	CADAX-SM-03sep20.megahit.nv.contigs	1657547	308268	34953	13653	3754	1204	1643739691	1002929813	490578415	344541708	196943477	109274691	800057	661919	1340358789	2557	651	16083.6	86775	564666	0.00
S	X	CADA	CADAX-SM-30jun22.megahit.nv.contigs	1230757	211724	17715	6851	1917	644	1098092652	594496424	249646122	175523200	101739825	58181148	628344	661912	878278347	1709	609	12961.5	89761	469111	0.00
			
L	E	CEPX	CEPXE-LM-21may20.megahit.nv.contigs	3794227	407704	19646	4915	847	223	2463264973	868520994	195800763	97853437	39763122	18860047	1629993	385427	1683359827	1036	560	3738.7	381319	1311769	0.00
L	E	CEPX	CEPXE-LM-31jul20.megahit.nv.contigs	3096706	378218	25570	8000	1503	351	2140125936	904606584	281917765	163209841	67810615	29342335	1264651	394554	1506948321	1293	586	5652.0	244318	985844	0.00
S	E	CEPX	CEPXE-SM-21may20.megahit.nv.contigs	3400220	451570	29636	10290	2551	754	2425215590	1113337275	370101030	239388441	124552512	63631907	1380341	495378	1742953181	1436	591	7849.2	247341	1059345	0.00
S	E	CEPX	CEPXE-SM-31jul20.megahit.nv.contigs	2649319	328760	32217	11115	2202	510	1894304452	924507234	373970455	230093732	99805183	43746405	931489	381929	1333961874	1876	614	8546.9	134876	689961	0.00
L	H	CEPX	CEPXH-LM-21may20.megahit.nv.contigs	3886221	535478	21654	5105	1093	294	2699230003	1108833889	218878249	110096984	52100585	25041944	1769813	401858	1947279218	1163	579	4004.2	409816	1407532	0.00
L	H	CEPX	CEPXH-LM-31jul20.megahit.nv.contigs	4063276	505898	32929	10520	2398	664	2872222091	1212382522	387986176	236828903	117361918	58759435	1740071	506011	2051051378	1256	584	7077.3	338066	1360054	0.00
S	H	CEPX	CEPXH-SM-21may20.megahit.nv.contigs	3556267	474789	32001	10755	2529	719	2538576747	1168493072	388417461	245253384	123354807	61737165	1443499	382906	1828062459	1437	597	7707.1	259801	1108270	0.00
S	H	CEPX	CEPXH-SM-31jul20.megahit.nv.contigs	3396435	426119	36924	13250	3207	892	2443107742	1164851156	464595410	303406814	155098919	77191432	1263021	549414	1734807590	1677	607	9699.8	190692	947479	0.00
			
L	E	CERN	CERNE-LM-04jun20.megahit.nv.contigs	1337215	105019	9047	4000	1308	440	857759723	313835409	146744194	112514765	70885547	41089903	467909	392299	553730883	1234	564	13653.7	71486	363456	0.00
S	E	CERN	CERNE-SM-04jun20.megahit.nv.contigs	660923	110448	12710	4522	1722	764	656419685	397304687	204817666	149975664	108183337	74382116	302916	990661	526385659	2997	633	25872.3	28045	208789	0.00
S	E	CERN	CERNE-SM-30jul20.megahit.nv.contigs	728481	147551	16711	7040	2434	1079	821289991	536035055	291050920	224944203	155956884	108838149	372223	925141	689270309	3221	668	29657.2	30281	251914	0.00
L	H	CERN	CERNH-LM-04jun20.megahit.nv.contigs	2165687	178040	12867	5577	1749	604	1371390273	478402565	204040851	154053431	95941319	56648602	805561	661852	899931087	1079	567	12998.0	150633	636338	0.00
